"YearMonth","AnimalType","ATC","ProductName","PackType","PackageSize","Substanse","Price","UnitsSold","ActiveSubstanceVolume","ActiveSubstanceUnit","RealPrice","Year","Month","RealPricePerUnit","Date","KgActiveSubstance","RealPricePerKgActiveSubstance"
200501,"Svin - 120","QJ01CE09","Penovet vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","5 x 100 milliliter","bensylpenicillinprokainmonohydrat",45618,182,27300,"g",68793.0602374955,2005,1,377.983847458766,"2005-01-01",27.3,2519.89231639178
200501,"Svin - 120","QJ01EW10","Hippotrim vet., inj-vätska, lösning 200 mg/ml + 40 mg/ml","Injektionsflaska","100 milliliter","sulfadiazin, trimetoprim",12112.5,95,2280,"g",18265.9463835912,2005,1,192.273119827276,"2005-01-01",2.28,8011.37999280316
200501,"Svin - 120","QJ01EW10","Hippotrim vet., inj-vätska, lösning 200 mg/ml + 40 mg/ml","Injektionsflaska","12 x 100 milliliter","sulfadiazin, trimetoprim",10881,11,3168,"g",16408.8142497301,2005,1,1491.7103863391,"2005-01-01",3.168,5179.54995256632
200501,"Svin - 120","QJ01EW10","Hippotrim vet., inj-vätska, lösning 200 mg/ml + 40 mg/ml","Injektionsflaska","3 x 12 x 100 milliliter","sulfadiazin, trimetoprim",2493.5,1,864,"g",3760.25901403383,2005,1,3760.25901403383,"2005-01-01",0.864,4352.15163661323
200501,"Svin - 120","QJ01EW10","Tribrissen vet., inj-vätska, suspension 400 mg/ml+80 mg/ml","Injektionsflaska","100 milliliter","sulfadiazin",3104,13,520,"g",4680.9079525009,2005,1,360.069842500069,"2005-01-01",0.52,9001.74606250173
200501,"Svin - 120","QJ01EW10","Tribrissen vet., inj-vätska, suspension 400 mg/ml+80 mg/ml","Injektionsflaska","100 milliliter","trimetoprim",3104,13,104,"g",4680.9079525009,2005,1,360.069842500069,"2005-01-01",0.104,45008.7303125087
200501,"Svin - 120","QJ01EW13","Borgal vet in 200mg/ml+40mg/ml","Injektionsflaska","100 milliliter","sulfadoxin",5497,36,720,"g",8289.61050737676,2005,1,230.266958538243,"2005-01-01",0.72,11513.3479269122
200501,"Svin - 120","QJ01EW13","Borgal vet in 200mg/ml+40mg/ml","Injektionsflaska","100 milliliter","trimetoprim",5497,36,144,"g",8289.61050737676,2005,1,230.266958538243,"2005-01-01",0.144,57566.7396345608
200501,"Svin - 120","QJ01EW13","Borgal vet in 200mg/ml+40mg/ml","Injektionsflaska","30 x 100 milliliter","sulfadoxin",3189.5,1,600,"g",4809.84404462037,2005,1,4809.84404462037,"2005-01-01",0.6,8016.40674103395
200501,"Svin - 120","QJ01EW13","Borgal vet in 200mg/ml+40mg/ml","Injektionsflaska","30 x 100 milliliter","trimetoprim",3189.5,1,120,"g",4809.84404462037,2005,1,4809.84404462037,"2005-01-01",0.12,40082.0337051698
200501,"Svin - 120","QJ01EW13","Borgal vet in 200mg/ml+40mg/ml","Injektionsflaska","5 x 100 milliliter","sulfadoxin",6974.5,12,1200,"g",10517.7166606693,2005,1,876.476388389109,"2005-01-01",1.2,8764.76388389108
200501,"Svin - 120","QJ01EW13","Borgal vet in 200mg/ml+40mg/ml","Injektionsflaska","5 x 100 milliliter","trimetoprim",6974.5,12,240,"g",10517.7166606693,2005,1,876.476388389109,"2005-01-01",0.24,43823.8194194554
200501,"Svin - 120","QJ01FA90","Tylan vet., inj-vätska, lösning 200 mg/ml","Flaska","100 milliliter","tylosin",133503,431,8620,"g",201325.790716085,2005,1,467.113203517598,"2005-01-01",8.62,23355.6601758799
200501,"Svin - 120","QJ01FA90","Tylan vet., pulver till oral lösning 83 % Elanco Denmark ApS","Flaska","120 gram","tylosintartrat",129401,326,39120,"g",195139.874343289,2005,1,598.588571605181,"2005-01-01",39.12,4988.23809670984
200501,"Svin - 120","QJ01FF01","Clindabuc vet, tablett 200 mg","Blister","10 styck","klindamycinhydroklorid",211,2,4.5334,"g",318.193163008276,2005,1,159.096581504138,"2005-01-01",0.0045334,70188.6361248238
200501,"Svin - 120","QJ01MA90","Baytril vet., inj-vätska, lösning 100 mg/ml","Injektionsflaska","12 x 50 milliliter","enrofloxacin",36655,10,600,"g",55276.6369197553,2005,1,5527.66369197553,"2005-01-01",0.6,92127.7281995922
200501,"Svin - 120","QJ01MA90","Baytril vet., inj-vätska, lösning 100 mg/ml","Injektionsflaska","50 milliliter","enrofloxacin",39429.5,110,550,"g",59460.6508096438,2005,1,540.551370996761,"2005-01-01",0.55,108110.274199352
200501,"Svin - 120","QJ01MA90","Baytril vet., inj-vätska, lösning 25 mg/ml","Injektionsflaska","50 milliliter","enrofloxacin",27922,181,226.25,"g",42107.0592299388,2005,1,232.635686353253,"2005-01-01",0.22625,186108.549082602
200501,"Svin - 120","QJ01MA90","Baytril vet., tablett 15 mg","Blister","10 styck","enrofloxacin",65.5,1,0.15,"g",98.7756027347967,2005,1,98.7756027347967,"2005-01-01",0.00015,658504.018231978
200501,"Svin - 120","QJ01RA01","Ethacilin Comp. vet., inj-vätska, suspension 200 mg/ml+200 mg/ml","Injektionsflaska","10 x 100 milliliter","bensylpenicillinprokainmonohydrat",2419,4,800,"g",3647.91119107593,2005,1,911.977797768982,"2005-01-01",0.8,4559.88898884491
200501,"Svin - 120","QJ01RA01","Ethacilin Comp. vet., inj-vätska, suspension 200 mg/ml+200 mg/ml","Injektionsflaska","10 x 100 milliliter","dihydrostreptomycinsulfat",2419,4,1000,"g",3647.91119107593,2005,1,911.977797768982,"2005-01-01",1,3647.91119107593
200501,"Svin - 120","QJ01RA01","Ethacilin Comp. vet., inj-vätska, suspension 200 mg/ml+200 mg/ml","Injektionsflaska","100 milliliter","bensylpenicillinprokainmonohydrat",1156,12,240,"g",1743.27628643397,2005,1,145.273023869497,"2005-01-01",0.24,7263.65119347488
200501,"Svin - 120","QJ01RA01","Ethacilin Comp. vet., inj-vätska, suspension 200 mg/ml+200 mg/ml","Injektionsflaska","100 milliliter","dihydrostreptomycinsulfat",1156,12,300,"g",1743.27628643397,2005,1,145.273023869497,"2005-01-01",0.3,5810.9209547799
200501,"Svin - 120","QJ01RA01","Streptocillin vet., inj-vätska, suspension 250 mg/ml + 200 mg/ml","Injektionsflaska","100 milliliter","bensylpenicillinprokainmonohydrat, dihydrostreptomycinsulfat",6385,50,2650,"g",9628.73623605614,2005,1,192.574724721123,"2005-01-01",2.65,3633.48537209666
200501,"Svin - 120","QJ01RA01","Streptocillin vet., inj-vätska, suspension 250 mg/ml + 200 mg/ml","Injektionsflaska","5 x 100 milliliter","bensylpenicillinprokainmonohydrat, dihydrostreptomycinsulfat",8971,20,5300,"g",13528.4875134941,2005,1,676.424375674703,"2005-01-01",5.3,2552.54481386681
200501,"Svin - 120","QJ01XQ01","Denagard vet., inj-vätska, lösning 200 mg/ml","Injektionsflaska","10 x 100 milliliter","tiamulinvätefumarat",8724,4,800,"g",13156.0054695934,2005,1,3289.00136739834,"2005-01-01",0.8,16445.0068369917
200501,"Svin - 120","QJ01XQ01","Denagard vet., inj-vätska, lösning 200 mg/ml","Injektionsflaska","100 milliliter","tiamulinvätefumarat",19628.5,73,1460,"g",29600.2582943505,2005,1,405.482990333568,"2005-01-01",1.46,20274.1495166784
200501,"Svin - 120","QJ01XQ01","Denagard vet., lösning för användning i dricksvatten 125 mg/ml","Flaska","1000 milliliter","tiamulinvätefumarat",29953,41,5125,"g",45169.8569269521,2005,1,1101.70382748664,"2005-01-01",5.125,8813.63061989309
200501,"Svin - 120","QJ01XQ01","Denagard vet., lösning för användning i dricksvatten 125 mg/ml","Flaska","4 x 1000 milliliter","tiamulinvätefumarat",99731,38,19000,"g",150396.78834113,2005,1,3957.81021950342,"2005-01-01",19,7915.62043900684
200501,"Svin - 120","QJ01XQ01","Denagard vet., lösning för användning i dricksvatten 125 mg/ml","Flaska","5000 milliliter","tiamulinvätefumarat",6229,2,1250,"g",9393.4844188557,2005,1,4696.74220942785,"2005-01-01",1.25,7514.78753508456
200501,"Gris","QJ01","Kan ej redovisas","Kan ej redovisas","Kan ej redovisas","Kan ej redovisas",236186,796,31870.85,"g",356174.267290392,2005,1,447.455109661297,"2005-01-01",31.87085,11175.5496728324
200502,"Svin - 120","J01CE02","Kåvepenin, filmdragerad tablett 500 mg","Blister","20 styck","fenoximetylpenicillinkalium",68.5,1,10,"g",102.818696275072,2005,2,102.818696275072,"2005-02-01",0.01,10281.8696275072
200502,"Svin - 120","QJ01AA06","Engemycin vet., inj-vätska, lösning 100 mg/ml","Injektionsflaska","10 x 100 milliliter","oxitetracyklinhydroklorid",2424,4,452,"g",3638.43094555874,2005,2,909.607736389685,"2005-02-01",0.452,8049.62598574942
200502,"Svin - 120","QJ01AA06","Engemycin vet., inj-vätska, lösning 100 mg/ml","Injektionsflaska","100 milliliter","oxitetracyklinhydroklorid",5985,70,791,"g",8983.50214899714,2005,2,128.335744985673,"2005-02-01",0.791,11357.1455739534
200502,"Svin - 120","QJ01AA06","Terramycin vet dr 100mg/ml","Flaska","20 milliliter","oxitetracyklinkalcium",105,1,2.353,"g",157.605300859599,2005,2,157.605300859599,"2005-02-01",0.002353,66980.5783508708
200502,"Svin - 120","QJ01AA06","Terramycin vet., oralt pulver 20 %","Burk","500 gram","oxitetracyklinhydroklorid",4908.5,14,1540,"g",7367.67256446991,2005,2,526.262326033565,"2005-02-01",1.54,4784.2029639415
200502,"Svin - 120","QJ01AA06","Terramycin vet., oralt pulver 20 %","Burk","6 x 500 gram","oxitetracyklinhydroklorid",1882,1,660,"g",2824.88739255014,2005,2,2824.88739255014,"2005-02-01",0.66,4280.13241295476
200502,"Svin - 120","QJ01CA04","Vetrimoxin vet., oral pasta 20 mg/g","Förfylld spruta","2 x 15 gram","amoxicillintrihydrat",150,1,0.69,"g",225.150429799427,2005,2,225.150429799427,"2005-02-01",0.00069,326304.970723807
200502,"Svin - 120","QJ01CA04","Vetrimoxin vet., tablett 150 mg","Blister","10 styck","amoxicillintrihydrat",69,1,1.72,"g",103.569197707736,2005,2,103.569197707736,"2005-02-01",0.00172,60214.6498300791
200502,"Svin - 120","QJ01CE09","Ethacilin vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","100 milliliter","bensylpenicillinprokainmonohydrat",11120,139,4170,"g",16691.1518624642,2005,2,120.080229226361,"2005-02-01",4.17,4002.67430754537
200502,"Svin - 120","QJ01CE09","Ethacilin vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","12 x 100 milliliter","bensylpenicillinprokainmonohydrat",52561,91,32760,"g",78894.2116045845,2005,2,866.969358292138,"2005-02-01",32.76,2408.24821747816
200502,"Svin - 120","QJ01CE09","Ethacilin vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","12 x 250 milliliter","bensylpenicillinprokainmonohydrat",3366,3,2700,"g",5052.37564469914,2005,2,1684.12521489971,"2005-02-01",2.7,1871.25023877746
200502,"Svin - 120","QJ01CE09","Ethacilin vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","48 x 100 milliliter","bensylpenicillinprokainmonohydrat",13737.5,7,10080,"g",20620.0268624642,2005,2,2945.71812320917,"2005-02-01",10.08,2045.63758556192
200502,"Svin - 120","QJ01CE09","Penovet vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","10 x 5 x 100 milliliter","bensylpenicillinprokainmonohydrat",4087,2,3000,"g",6134.59871060172,2005,2,3067.29935530086,"2005-02-01",3,2044.86623686724
200502,"Svin - 120","QJ01CE09","Penovet vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","100 milliliter","bensylpenicillinprokainmonohydrat",7280,91,2730,"g",10927.3008595989,2005,2,120.080229226361,"2005-02-01",2.73,4002.67430754538
200502,"Svin - 120","QJ01CE09","Penovet vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","25 x 100 milliliter","bensylpenicillinprokainmonohydrat",12237.5,11,8250,"g",18368.5225644699,2005,2,1669.86568767908,"2005-02-01",8.25,2226.48758357211
200502,"Svin - 120","QJ01CE09","Penovet vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","5 x 100 milliliter","bensylpenicillinprokainmonohydrat",42585,170,25500,"g",63920.2070200573,2005,2,376.001217765043,"2005-02-01",25.5,2506.67478510029
200502,"Svin - 120","QJ01EW10","Hippotrim vet., inj-vätska, lösning 200 mg/ml + 40 mg/ml","Injektionsflaska","100 milliliter","sulfadiazin, trimetoprim",14152.5,111,2664,"g",21242.9430515759,2005,2,191.377865329513,"2005-02-01",2.664,7974.07772206303
200502,"Svin - 120","QJ01EW10","Hippotrim vet., inj-vätska, lösning 200 mg/ml + 40 mg/ml","Injektionsflaska","12 x 100 milliliter","sulfadiazin, trimetoprim",17811,18,5184,"g",26734.362034384,2005,2,1485.24233524355,"2005-02-01",5.184,5157.0914418179
200502,"Svin - 120","QJ01EW10","Hippotrim vet., inj-vätska, lösning 200 mg/ml + 40 mg/ml","Injektionsflaska","3 x 12 x 100 milliliter","sulfadiazin, trimetoprim",4987,2,1728,"g",7485.50128939828,2005,2,3742.75064469914,"2005-02-01",1.728,4331.88732025363
200502,"Svin - 120","QJ01EW10","Tribrissen vet., inj-vätska, suspension 400 mg/ml+80 mg/ml","Injektionsflaska","10 x 100 milliliter","sulfadiazin",1994,1,400,"g",2992.99971346705,2005,2,2992.99971346705,"2005-02-01",0.4,7482.49928366762
200502,"Svin - 120","QJ01EW10","Tribrissen vet., inj-vätska, suspension 400 mg/ml+80 mg/ml","Injektionsflaska","10 x 100 milliliter","trimetoprim",1994,1,80,"g",2992.99971346705,2005,2,2992.99971346705,"2005-02-01",0.08,37412.4964183381
200502,"Svin - 120","QJ01EW13","Borgal vet in 200mg/ml+40mg/ml","Injektionsflaska","100 milliliter","sulfadoxin",5472,36,720,"g",8213.48767908309,2005,2,228.152435530086,"2005-02-01",0.72,11407.6217765043
200502,"Svin - 120","QJ01EW13","Borgal vet in 200mg/ml+40mg/ml","Injektionsflaska","100 milliliter","trimetoprim",5472,36,144,"g",8213.48767908309,2005,2,228.152435530086,"2005-02-01",0.144,57038.1088825215
200502,"Svin - 120","QJ01EW13","Borgal vet in 200mg/ml+40mg/ml","Injektionsflaska","5 x 100 milliliter","sulfadoxin",5224.5,9,900,"g",7841.98946991404,2005,2,871.332163323782,"2005-02-01",0.9,8713.32163323782
200502,"Svin - 120","QJ01EW13","Borgal vet in 200mg/ml+40mg/ml","Injektionsflaska","5 x 100 milliliter","trimetoprim",5224.5,9,180,"g",7841.98946991404,2005,2,871.332163323782,"2005-02-01",0.18,43566.6081661891
200502,"Svin - 120","QJ01FA90","Tylan vet., inj-vätska, lösning 200 mg/ml","Flaska","100 milliliter","tylosin",120726,390,7800,"g",181210.071919771,2005,2,464.641210050694,"2005-02-01",7.8,23232.0605025347
200502,"Svin - 120","QJ01FA90","Tylan vet., pulver till oral lösning 83 % Elanco Denmark ApS","Flaska","120 gram","tylosintartrat",110484,279,33480,"g",165836.800573066,2005,2,594.397134670487,"2005-02-01",33.48,4953.3094555874
200502,"Svin - 120","QJ01MA90","Baytril vet., inj-vätska, lösning 100 mg/ml","Injektionsflaska","12 x 50 milliliter","enrofloxacin",29428,8,480,"g",44171.5123209169,2005,2,5521.43904011461,"2005-02-01",0.48,92023.9840019102
200502,"Svin - 120","QJ01MA90","Baytril vet., inj-vätska, lösning 100 mg/ml","Injektionsflaska","50 milliliter","enrofloxacin",57423.5,160,800,"g",86192.8380372493,2005,2,538.705237732808,"2005-02-01",0.8,107741.047546562
200502,"Svin - 120","QJ01MA90","Baytril vet., inj-vätska, lösning 25 mg/ml","Injektionsflaska","50 milliliter","enrofloxacin",28428,184,230,"g",42670.5094555874,2005,2,231.90494269341,"2005-02-01",0.23,185523.954154728
200502,"Svin - 120","QJ01RA01","Ethacilin Comp. vet., inj-vätska, suspension 200 mg/ml+200 mg/ml","Injektionsflaska","10 x 100 milliliter","bensylpenicillinprokainmonohydrat",1210,2,400,"g",1816.21346704871,2005,2,908.106733524355,"2005-02-01",0.4,4540.53366762177
200502,"Svin - 120","QJ01RA01","Ethacilin Comp. vet., inj-vätska, suspension 200 mg/ml+200 mg/ml","Injektionsflaska","10 x 100 milliliter","dihydrostreptomycinsulfat",1210,2,500,"g",1816.21346704871,2005,2,908.106733524355,"2005-02-01",0.5,3632.42693409742
200502,"Svin - 120","QJ01RA01","Ethacilin Comp. vet., inj-vätska, suspension 200 mg/ml+200 mg/ml","Injektionsflaska","100 milliliter","bensylpenicillinprokainmonohydrat",1254.5,13,260,"g",1883.00809455587,2005,2,144.846776504298,"2005-02-01",0.26,7242.33882521488
200502,"Svin - 120","QJ01RA01","Ethacilin Comp. vet., inj-vätska, suspension 200 mg/ml+200 mg/ml","Injektionsflaska","100 milliliter","dihydrostreptomycinsulfat",1254.5,13,325,"g",1883.00809455587,2005,2,144.846776504298,"2005-02-01",0.325,5793.87106017191
200502,"Svin - 120","QJ01RA01","Streptocillin vet., inj-vätska, suspension 250 mg/ml + 200 mg/ml","Injektionsflaska","100 milliliter","bensylpenicillinprokainmonohydrat, dihydrostreptomycinsulfat",4721.5,37,1961,"g",7086.98502865329,2005,2,191.540135909548,"2005-02-01",1.961,3613.96482848204
200502,"Svin - 120","QJ01RA01","Streptocillin vet., inj-vätska, suspension 250 mg/ml + 200 mg/ml","Injektionsflaska","5 x 100 milliliter","bensylpenicillinprokainmonohydrat, dihydrostreptomycinsulfat",11200,25,6625,"g",16811.2320916905,2005,2,672.449283667622,"2005-02-01",6.625,2537.54446667026
200502,"Svin - 120","QJ01XQ01","Denagard vet., inj-vätska, lösning 200 mg/ml","Injektionsflaska","10 x 100 milliliter","tiamulinvätefumarat",2181,1,200,"g",3273.68724928367,2005,2,3273.68724928367,"2005-02-01",0.2,16368.4362464184
200502,"Svin - 120","QJ01XQ01","Denagard vet., inj-vätska, lösning 200 mg/ml","Injektionsflaska","100 milliliter","tiamulinvätefumarat",11545.5,43,860,"g",17329.8285816619,2005,2,403.019269340974,"2005-02-01",0.86,20150.9634670487
200502,"Svin - 120","QJ01XQ01","Denagard vet., lösning för användning i dricksvatten 125 mg/ml","Flaska","1000 milliliter","tiamulinvätefumarat",19710,27,3375,"g",29584.7664756447,2005,2,1095.73209169054,"2005-02-01",3.375,8765.85673352436
200502,"Svin - 120","QJ01XQ01","Denagard vet., lösning för användning i dricksvatten 125 mg/ml","Flaska","4 x 1000 milliliter","tiamulinvätefumarat",44616.5,17,8500,"g",66969.4943409742,2005,2,3939.38202005731,"2005-02-01",8.5,7878.76404011461
200502,"Svin - 120","QJ01XQ01","Denagard vet., lösning för användning i dricksvatten 125 mg/ml","Flaska","5000 milliliter","tiamulinvätefumarat",12458,4,2500,"g",18699.4936962751,2005,2,4674.87342406877,"2005-02-01",2.5,7479.79747851004
200502,"Gris","QJ01","Kan ej redovisas","Kan ej redovisas","Kan ej redovisas","Kan ej redovisas",201447,749,26098.34,"g",302372.524212034,2005,2,403.701634461995,"2005-02-01",26.09834,11585.891064797
200503,"Svin - 120","J01CE02","Kåvepenin Frukt, granulat till oral suspension 50 mg/ml","Flaska","200 milliliter","fenoximetylpenicillinkalium",378,3,30,"g",566.162401715511,2005,3,188.720800571837,"2005-03-01",0.03,18872.0800571837
200503,"Svin - 120","J01CE02","Kåvepenin, filmdragerad tablett 1 g","Blister","40 styck","fenoximetylpenicillinkalium",110.5,1,40,"g",165.505146533238,2005,3,165.505146533238,"2005-03-01",0.04,4137.62866333095
200503,"Svin - 120","J01CE02","Kåvepenin, granulat till oral suspension 50 mg/ml","Flaska","200 milliliter","fenoximetylpenicillinkalium",1638,13,130,"g",2453.37040743388,2005,3,188.720800571837,"2005-03-01",0.13,18872.0800571837
200503,"Svin - 120","QJ01AA06","Engemycin vet., inj-vätska, lösning 100 mg/ml","Injektionsflaska","10 x 100 milliliter","oxitetracyklinhydroklorid",7272,12,1356,"g",10891.8862044317,2005,3,907.657183702645,"2005-03-01",1.356,8032.3644575455
200503,"Svin - 120","QJ01AA06","Engemycin vet., inj-vätska, lösning 100 mg/ml","Injektionsflaska","100 milliliter","oxitetracyklinhydroklorid",2650.5,31,350.3,"g",3969.87684060043,2005,3,128.060543245175,"2005-03-01",0.3503,11332.7914376261
200503,"Svin - 120","QJ01AA06","Engemycin vet., inj-vätska, lösning 100 mg/ml","Injektionsflaska","6 x 10 x 100 milliliter","oxitetracyklinhydroklorid",2705,1,678,"g",4051.50607576841,2005,3,4051.50607576841,"2005-03-01",0.678,5975.6726781245
200503,"Svin - 120","QJ01AA06","Terramycin vet., oralt pulver 20 %","Burk","500 gram","oxitetracyklinhydroklorid",4914,14,1540,"g",7360.11122230164,2005,3,525.722230164403,"2005-03-01",1.54,4779.29300149457
200503,"Svin - 120","QJ01AA06","Terramycin vet., oralt pulver 20 %","Burk","6 x 500 gram","oxitetracyklinhydroklorid",3764,2,1320,"g",5637.65947105075,2005,3,2818.82973552538,"2005-03-01",1.32,4270.95414473542
200503,"Svin - 120","QJ01CA04","Vetrimoxin vet., tablett 150 mg","Blister","10 styck","amoxicillintrihydrat",69,1,1.72,"g",103.347105075054,2005,3,103.347105075054,"2005-03-01",0.00172,60085.5262064267
200503,"Svin - 120","QJ01CE01","Geepenil vet., pulv och vätska till inj-vätska, lösning 24 g","Flaska","24 gram","bensylpenicillinnatrium",280,2,1152,"g",419.379556826304,2005,3,209.689778413152,"2005-03-01",1.152,364.0447541895
200503,"Svin - 120","QJ01CE09","Ethacilin vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","100 milliliter","bensylpenicillinprokainmonohydrat",8000,100,3000,"g",11982.2730521801,2005,3,119.822730521801,"2005-03-01",3,3994.09101739337
200503,"Svin - 120","QJ01CE09","Ethacilin vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","12 x 100 milliliter","bensylpenicillinprokainmonohydrat",59482.5,103,37080,"g",89091.9446032881,2005,3,864.970335954253,"2005-03-01",37.08,2402.6953776507
200503,"Svin - 120","QJ01CE09","Ethacilin vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","12 x 250 milliliter","bensylpenicillinprokainmonohydrat",4488,4,3600,"g",6722.05518227305,2005,3,1680.51379556826,"2005-03-01",3.6,1867.2375506314
200503,"Svin - 120","QJ01CE09","Ethacilin vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","250 milliliter","bensylpenicillinprokainmonohydrat",1413.5,11,825,"g",2117.11786990708,2005,3,192.465260900643,"2005-03-01",0.825,2566.20347867525
200503,"Svin - 120","QJ01CE09","Ethacilin vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","48 x 100 milliliter","bensylpenicillinprokainmonohydrat",11775,6,8640,"g",17636.4081486776,2005,3,2939.40135811294,"2005-03-01",8.64,2041.25094313398
200503,"Svin - 120","QJ01CE09","Penovet vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","10 x 5 x 100 milliliter","bensylpenicillinprokainmonohydrat",4087,2,3000,"g",6121.44374553252,2005,3,3060.72187276626,"2005-03-01",3,2040.48124851084
200503,"Svin - 120","QJ01CE09","Penovet vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","100 milliliter","bensylpenicillinprokainmonohydrat",10240,128,3840,"g",15337.3095067906,2005,3,119.822730521801,"2005-03-01",3.84,3994.09101739339
200503,"Svin - 120","QJ01CE09","Penovet vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","25 x 100 milliliter","bensylpenicillinprokainmonohydrat",22250,20,15000,"g",33325.696926376,2005,3,1666.2848463188,"2005-03-01",15,2221.71312842507
